,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS
511,EVERGREEN CENTER RESIDENTIAL CENTER,345 FORTUNE BLVD,MILFORD,MA,1757,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,102.0
512,MOTHER HUBBARD PRESCHOOL INC,76 SCHOOL ST,MILFORD,MA,1757,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
513,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT ST,MILFORD,MA,1757,25027,WORCESTER,1122.0,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,100.5
514,BLAIR HOUSE OF MILFORD,20 CLAFLIN ST,MILFORD,MA,1757,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63.0
515,MILFORD SENIOR CENTER,60 N BOW ST,MILFORD,MA,1757,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
516,RIVERBEND OF SOUTH NATICK,34 LINCOLN STREET EXT,NATICK,MA,1760,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,41.0
517,BRANDON SCHOOL-RESIDENTIAL TREATMENT CTR,27 WINTER ST,NATICK,MA,1760,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,102.0
518,BEAUMONT REHABILITATION-SKILLED NURSING,3 VISION DR,NATICK,MA,1760,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,COMPASS,PUBLIC,1001 TO 2000,51.0
519,THE NEXT GENERATION CHILDRENS CENTER,15 STRATHMORE RD,NATICK,MA,1760,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
520,CAMP MATOAKA,32 LANES END,NATICK,MA,1760,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
521,NATICK PUBLIC SCHOOL DISTRICT,13 E CENTRAL ST,NATICK,MA,1760,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
522,THE TOBIN SCHOOL,73 COTTAGE ST,NATICK,MA,1760,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
523,MARY ANN MORSE NURSING AND REHAB,45 UNION ST,NATICK,MA,1760,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,109.0
524,METROWEST MEDICAL CENTER-TCU,67 UNION ST,NATICK,MA,1760,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0
525,PINE HILL ELEMENTARY SCHOOL,10 PINE HILL LN,SHERBORN,MA,1770,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,102.0
526,SOUTHBOROUGH COUNCIL ON AGING SENIOR CTR,9 CORDAVILLE RD,SOUTHBOROUGH,MA,1772,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
527,NEW ENGLAND CENTER FOR CHILDREN,33 TURNPIKE RD,SOUTHBOROUGH,MA,1772,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
528,LINCOLN PUBLIC SCHOOL DISTRICT,6 BALLFIELD RD,LINCOLN,MA,1773,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
529,CAMP SEWATARO,1 LIBERTY LEDGE,SUDBURY,MA,1776,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
530,CAMP BAUERCREST,20 NORMANDY DR,SUDBURY,MA,1776,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
531,WINGATE AT SUDBURY REHAB-NURSING FAC,136 BOSTON POST RD,SUDBURY,MA,1776,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125.0
532,NEXT GENERATION CHILDRENS CENTER OF SUDB,307 BOSTON POST RD,SUDBURY,MA,1776,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
533,SUDBURY PINES EXTENDED CARE FACILITY,642 BOSTON POST RD,SUDBURY,MA,1776,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,83.0
534,FAIRBANK SENIOR CENTER,40 FAIRBANK RD,SUDBURY,MA,1776,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
535,SUDBURY PUBLIC SCHOOL DISTRICT,40 FAIRBANK RD,SUDBURY,MA,1776,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
536,WAYLAND PUBLIC SCHOOL DISTRICT,PO BOX 408,WAYLAND,MA,1778,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,102.0
537,WAYLAND COA SENIOR CITIZENS CENTER,41 COCHITUATE RD,WAYLAND,MA,1778,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
538,WAYLAND NURSING AND REHAB CENTER,188 COMMONWEALTH RD,WAYLAND,MA,1778,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,39.0
539,WOBURN NURSING CENTER,PO BOX 272,WOBURN,MA,1801,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,136.0
540,ITT TECHNICAL INSTITUTE,10 FORBES RD,WOBURN,MA,1801,25017,MIDDLESEX,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
541,WOBURN PUBLIC SCHOOL DISTRICT,55 LOCUST ST,WOBURN,MA,1801,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
542,NEW ENGLAND REHAB HOSPITAL,2 REHABILITATION WAY,WOBURN,MA,1801,25017,MIDDLESEX,1122.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,110.8
543,CAB HEALTH AND RECOVERY SERVICES-AODA,800 W CUMMINGS PARK,WOBURN,MA,1801,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
544,ARBOUR COUNSELING SERVICES-SBSTNC ABUSE,500 W CUMMINGS PARK,WOBURN,MA,1801,25017,MIDDLESEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
545,COOPERATIVE ELDER/ADULT DC-BURLINGTON,37 B ST,BURLINGTON,MA,1803,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,102.0
546,KINDER CARE LEARNING CENTER,133 CAMBRIDGE ST,BURLINGTON,MA,1803,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,102.0
547,TENDER LEARNING CENTRE AND KIDS CLUB,87 2ND AVE,BURLINGTON,MA,1803,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
548,SHAWSHEEN SCHOOL,18 MAGNOLIA AVE,ANDOVER,MA,1810,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
549,MASSACHUSETTS SCHOOL LAW-ANDOVER,500 FEDERAL ST,ANDOVER,MA,1810,25009,ESSEX,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,102.0
550,GREATER LAWRENCE REGIONAL VOC DISTRICT,57 RIVER RD,ANDOVER,MA,1810,25009,ESSEX,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,102.0
551,GREATER LAWRENCE TECHNICAL HIGH SCHOOL,57 RIVER RD,ANDOVER,MA,1810,25009,ESSEX,1122.0,SECONDARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,102.0
552,ACADEMY MANOR GENISIS ELDERCARE,89 MORTON ST,ANDOVER,MA,1810,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,153.0
553,SHAWSHEEN EXTENDED DAY,65 PHILLIPS ST,ANDOVER,MA,1810,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
554,ISHAM HEALTH CENTER,180 MAIN ST,ANDOVER,MA,1810,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
555,HENRY C SANBORN ELEMENTARY SCHOOL,84 LOVEJOY RD,ANDOVER,MA,1810,25009,ESSEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,102.0
556,WINGATE AT ANDOVER REHAB-SNF,80 ANDOVER ST,ANDOVER,MA,1810,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128.0
557,NEXT GENERATION CHILDRENS CENTER,516 S MAIN ST,ANDOVER,MA,1810,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
558,BILLERICA HOUSE OF CORR-SHERIFF DEPT,PO BOX 565,BILLERICA,MA,1821,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
559,BILLERICA PUBLIC SCHOOLS,365 BOSTON RD,BILLERICA,MA,1821,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,501-750,OVER 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,102.0
560,SHAWSHEEN VALLEY REGIONAL VOC TECH DIST,100 COOK ST,BILLERICA,MA,1821,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,102.0
561,CASTLE HILL ADULT DAY-HEALTH CARE,PO BOX 404,CHELMSFORD,MA,1824,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,102.0
562,PALM MANOR-GENISIS ELDERCARE,40 PARKHURST RD,CHELMSFORD,MA,1824,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,113.0
563,MERRIMAC SPECIAL EDUCATION COLLABORATIVE,114 TURNPIKE RD,CHELMSFORD,MA,1824,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,PUBLIC,51 TO 100,102.0
564,KLUB KID TOO,160 TURNPIKE RD,CHELMSFORD,MA,1824,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
565,KNOWLEDGE BEGINNINGS-BILLERICA RD,261 BILLERICA RD,CHELMSFORD,MA,1824,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
566,SUNNY ACRES NURSING REHAB CENTER,254 BILLERICA RD,CHELMSFORD,MA,1824,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,90.0
567,DRACUT COUNCIL ON AGING SENIOR CENTER,951 MAMMOTH RD,DRACUT,MA,1826,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
568,LITTLE ANGELS DAYCARE-LA ADVENTURE CLUB,90 ARLINGTON ST,DRACUT,MA,1826,25017,MIDDLESEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
569,WINGATE AT HAVERHILL,190 NORTH AVE,HAVERHILL,MA,1830,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,118.0
570,NORTHERN ESSEX COMMUNITY COLLEGE,100 ELLIOTT ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,102.0
571,THE OXFORD FACILITY,689 MAIN ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115.0
572,HAVERHILL CNCL ON AGING SENIOR CENTER,10 WELCOME ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
573,PHOENIX EAST THERAPEUTIC COMMUNITY-AODA,20 NEWCOMB ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
574,HAVERHILL PUBLIC SCHOOL DISTRICT,4 SUMMER ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
575,WHITTIER REHABILITATION HOSPITAL,76 SUMMER ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,102.0
576,HEALTH-EDUCATION SVC-OTPTNT SBSTNC ABUSE,60 MERRIMACK ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
577,PENACOOK PLACE,150 WATER ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,COMPASS,PUBLIC,>2000,131.0
578,BAKER KATZ NURSING HOME,194 BOARDMAN ST,HAVERHILL,MA,1830,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,65.0
579,MERRIMACK VALLEY HOSPITAL TCU,140 LINCOLN AVE,HAVERHILL,MA,1830,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0
580,LAKEVIEW HOUSE NURSING HOME,PO BOX 1598,HAVERHILL,MA,1831,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,25.0
581,HANNAH DUSTON HEALTHCARE CENTER,126 MONUMENT ST,HAVERHILL,MA,1832,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,113.0
582,BALDPATE HOSPITAL,83 BALDPATE RD,GEORGETOWN,MA,1833,25009,ESSEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,102.0
583,GROVELAND COUNCIL ON AGING,183 MAIN ST,GROVELAND,MA,1834,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
584,GREATER LAWRENCE FAMILY HEALTH CTR-AODA,208 BROADWAY,LAWRENCE,MA,1840,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
585,HABIT OPCO-SUBSTANCE ABUSE TREATMENT,599 CANAL ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
586,FAMILY SERVICE INC-SUBSTANCE ABUSE PRGMS,430 N CANAL ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
587,GLFHC-NE CTR FOR HLTHY COMMUNITIES-AODA,101 AMESBURY ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
588,GREATER LAWRENCE YWCA CHILDRENS CENTER,38 LAWRENCE ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
589,MERRIMACK VALLEY YMCA CHILDCARE,40 LAWRENCE ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
590,LAWRENCE SENIOR CENTER,155 HAVERHILL ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
591,HEALTH AND EDUCATION SERVICES-SBSTNC ABS,30 GENERAL ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
592,PSYCHOLOGICAL CENTER-SUBSTANCE ABUSE SVC,11 UNION ST,LAWRENCE,MA,1840,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
593,BERKELEY RETIREMENT AND NURSING CENTER,150 BERKELEY ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,18.0
594,ESSEX COUNTY SHERIFF DEPT CORR ALT CTR,165 MARSTON ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
595,GERMAN HOME,374 HOWARD ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,SENIOR LIVING,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,102.0
596,M I ADULT DAY HEALTH CARE CENTER,189 MAPLE ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,102.0
597,MARY IMMACULATE RESTORATIVE CENTER,172 LAWRENCE ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,222.0
598,PSYCHOLOGICAL CENTER-WOMENS VIEW-AODA,582 HAVERHILL ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
599,PEGASUS HOUSE-PSYCHOLOGICAL CENTER-AODA,482 LOWELL ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
600,SUNBRIDGE CARE AND REHAB-WOOD MILL,800 ESSEX ST,LAWRENCE,MA,1841,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,80.0
601,LAWRENCE GENERAL HOSPITAL,PO BOX 189,LAWRENCE,MA,1842,25009,ESSEX,1122.0,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,ARAMARK,UNCODED,>2000,149.2
602,LAWRENCE PUBLIC SCHOOL DISTRICT,PO BOX 1498,LAWRENCE,MA,1842,25009,ESSEX,1122.0,SCHOOL DISTRICTS,UNCODED,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,102.0
603,LITTLE SPROUTS AT THE INDUSTRIAL PARK,20 BALLARD WAY,LAWRENCE,MA,1843,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
604,LATCHKEY COMMUNITY DAYCARE CENTER,32 GROTON ST,LAWRENCE,MA,1843,25009,ESSEX,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
605,SUNBRIDGE CRE AND REHAB-COLONIAL HEIGHTS,555 S UNION ST,LAWRENCE,MA,1843,25009,ESSEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,69.0
606,MSPCC FAMILY COUNSELING CTR-AODA PRGMS,439 S UNION ST,LAWRENCE,MA,1843,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
607,DAYBREAK SHELTER-SUBSTANCE ABUSE PROGRAM,75 N PARISH RD,LAWRENCE,MA,1843,25009,ESSEX,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
